
Iteracción: 0
individual0 mCAI=0.369312,mHD=0.131579,lLCS=0.175439,GENDER=female,AGE:0,fitness:3.00171e+11, last mutation: -1, Identificador de poblacion: 94
individual36 mCAI=0.392738,mHD=0.175439,lLCS=0.166667,GENDER=female,AGE:0,fitness:8.25919e+06, last mutation: -1, Identificador de poblacion: 122
individual37 mCAI=0.380861,mHD=0.175439,lLCS=0.175439,GENDER=female,AGE:0,fitness:8.12942e+06, last mutation: -1, Identificador de poblacion: 65
individual38 mCAI=0.353992,mHD=0.175439,lLCS=0.192982,GENDER=female,AGE:0,fitness:8.00311e+06, last mutation: -1, Identificador de poblacion: 17
individual39 mCAI=0.399093,mHD=0.175439,lLCS=0.149123,GENDER=female,AGE:0,fitness:7.91347e+06, last mutation: -1, Identificador de poblacion: 26
individual40 mCAI=0.397691,mHD=0.175439,lLCS=0.149123,GENDER=female,AGE:0,fitness:7.84828e+06, last mutation: -1, Identificador de poblacion: 136
individual41 mCAI=0.413361,mHD=0.175439,lLCS=0.122807,GENDER=female,AGE:0,fitness:7.82134e+06, last mutation: -1, Identificador de poblacion: 197
individual42 mCAI=0.370194,mHD=0.175439,lLCS=0.175439,GENDER=female,AGE:0,fitness:7.73099e+06, last mutation: -1, Identificador de poblacion: 46
individual43 mCAI=0.394524,mHD=0.175439,lLCS=0.149123,GENDER=female,AGE:0,fitness:7.70303e+06, last mutation: -1, Identificador de poblacion: 182
individual44 mCAI=0.368827,mHD=0.175439,lLCS=0.175439,GENDER=female,AGE:0,fitness:7.68135e+06, last mutation: -1, Identificador de poblacion: 55
individual45 mCAI=0.403964,mHD=0.175439,lLCS=0.131579,GENDER=female,AGE:0,fitness:7.58323e+06, last mutation: -1, Identificador de poblacion: 137
individual46 mCAI=0.378278,mHD=0.175439,lLCS=0.157895,GENDER=female,AGE:0,fitness:7.32745e+06, last mutation: -1, Identificador de poblacion: 100
individual47 mCAI=0.383573,mHD=0.175439,lLCS=0.149123,GENDER=female,AGE:0,fitness:7.22113e+06, last mutation: -1, Identificador de poblacion: 140
individual48 mCAI=0.400263,mHD=0.175439,lLCS=0.122807,GENDER=female,AGE:0,fitness:7.12804e+06, last mutation: -1, Identificador de poblacion: 193
individual49 mCAI=0.392738,mHD=0.175439,lLCS=0.131579,GENDER=female,AGE:0,fitness:7.03452e+06, last mutation: -1, Identificador de poblacion: 27
individual50 mCAI=0.377401,mHD=0.175439,lLCS=0.149123,GENDER=female,AGE:0,fitness:6.96297e+06, last mutation: -1, Identificador de poblacion: 187
individual51 mCAI=0.362179,mHD=0.175439,lLCS=0.149123,GENDER=female,AGE:0,fitness:6.36496e+06, last mutation: -1, Identificador de poblacion: 74
individual52 mCAI=0.411006,mHD=0.184211,lLCS=0.22807,GENDER=female,AGE:0,fitness:1.30771e+06, last mutation: -1, Identificador de poblacion: 54
individual53 mCAI=0.408534,mHD=0.184211,lLCS=0.22807,GENDER=female,AGE:0,fitness:1.30118e+06, last mutation: -1, Identificador de poblacion: 164
individual54 mCAI=0.420709,mHD=0.184211,lLCS=0.201754,GENDER=female,AGE:0,fitness:1.23664e+06, last mutation: -1, Identificador de poblacion: 161
individual55 mCAI=0.342534,mHD=0.184211,lLCS=0.236842,GENDER=female,AGE:0,fitness:1.19921e+06, last mutation: -1, Identificador de poblacion: 28
individual56 mCAI=0.365867,mHD=0.184211,lLCS=0.22807,GENDER=female,AGE:0,fitness:1.19352e+06, last mutation: -1, Identificador de poblacion: 16
individual57 mCAI=0.408611,mHD=0.184211,lLCS=0.201754,GENDER=female,AGE:0,fitness:1.19179e+06, last mutation: -1, Identificador de poblacion: 179
individual58 mCAI=0.425464,mHD=0.184211,lLCS=0.175439,GENDER=female,AGE:0,fitness:1.16917e+06, last mutation: -1, Identificador de poblacion: 127
individual59 mCAI=0.416404,mHD=0.184211,lLCS=0.184211,GENDER=female,AGE:0,fitness:1.15715e+06, last mutation: -1, Identificador de poblacion: 180
individual60 mCAI=0.419289,mHD=0.184211,lLCS=0.175439,GENDER=female,AGE:0,fitness:1.14007e+06, last mutation: -1, Identificador de poblacion: 188
individual61 mCAI=0.422688,mHD=0.184211,lLCS=0.149123,GENDER=female,AGE:0,fitness:1.07411e+06, last mutation: -1, Identificador de poblacion: 146
individual62 mCAI=0.422347,mHD=0.184211,lLCS=0.149123,GENDER=female,AGE:0,fitness:1.07224e+06, last mutation: -1, Identificador de poblacion: 33
individual63 mCAI=0.371563,mHD=0.184211,lLCS=0.201754,GENDER=female,AGE:0,fitness:1.06431e+06, last mutation: -1, Identificador de poblacion: 5
individual64 mCAI=0.401241,mHD=0.184211,lLCS=0.175439,GENDER=female,AGE:0,fitness:1.05908e+06, last mutation: -1, Identificador de poblacion: 9
individual65 mCAI=0.416279,mHD=0.184211,lLCS=0.149123,GENDER=female,AGE:0,fitness:1.03948e+06, last mutation: -1, Identificador de poblacion: 79
individual66 mCAI=0.415962,mHD=0.184211,lLCS=0.149123,GENDER=female,AGE:0,fitness:1.0378e+06, last mutation: -1, Identificador de poblacion: 37
individual67 mCAI=0.39427,mHD=0.184211,lLCS=0.175439,GENDER=female,AGE:0,fitness:1.02936e+06, last mutation: -1, Identificador de poblacion: 106
individual68 mCAI=0.409541,mHD=0.184211,lLCS=0.149123,GENDER=female,AGE:0,fitness:1.00429e+06, last mutation: -1, Identificador de poblacion: 92
individual69 mCAI=0.388142,mHD=0.184211,lLCS=0.175439,GENDER=female,AGE:0,fitness:1.00393e+06, last mutation: -1, Identificador de poblacion: 76
individual70 mCAI=0.387715,mHD=0.184211,lLCS=0.175439,GENDER=female,AGE:0,fitness:1.00218e+06, last mutation: -1, Identificador de poblacion: 43
individual71 mCAI=0.376986,mHD=0.184211,lLCS=0.184211,GENDER=female,AGE:0,fitness:998544, last mutation: -1, Identificador de poblacion: 93
individual72 mCAI=0.375119,mHD=0.184211,lLCS=0.184211,GENDER=female,AGE:0,fitness:991594, last mutation: -1, Identificador de poblacion: 165
individual73 mCAI=0.401164,mHD=0.184211,lLCS=0.149123,GENDER=female,AGE:0,fitness:962188, last mutation: -1, Identificador de poblacion: 21
individual74 mCAI=0.399324,mHD=0.184211,lLCS=0.149123,GENDER=female,AGE:0,fitness:953179, last mutation: -1, Identificador de poblacion: 169
individual75 mCAI=0.39169,mHD=0.184211,lLCS=0.157895,GENDER=female,AGE:0,fitness:949468, last mutation: -1, Identificador de poblacion: 119
individual76 mCAI=0.398505,mHD=0.184211,lLCS=0.149123,GENDER=female,AGE:0,fitness:949196, last mutation: -1, Identificador de poblacion: 23
individual77 mCAI=0.390971,mHD=0.184211,lLCS=0.157895,GENDER=female,AGE:0,fitness:946219, last mutation: -1, Identificador de poblacion: 142
individual78 mCAI=0.396891,mHD=0.184211,lLCS=0.149123,GENDER=female,AGE:0,fitness:941397, last mutation: -1, Identificador de poblacion: 138
individual79 mCAI=0.396299,mHD=0.184211,lLCS=0.149123,GENDER=female,AGE:0,fitness:938550, last mutation: -1, Identificador de poblacion: 1
individual80 mCAI=0.369832,mHD=0.184211,lLCS=0.175439,GENDER=female,AGE:0,fitness:931611, last mutation: -1, Identificador de poblacion: 86
individual81 mCAI=0.394077,mHD=0.184211,lLCS=0.149123,GENDER=female,AGE:0,fitness:927951, last mutation: -1, Identificador de poblacion: 105
individual82 mCAI=0.391339,mHD=0.184211,lLCS=0.149123,GENDER=female,AGE:0,fitness:915051, last mutation: -1, Identificador de poblacion: 4
individual83 mCAI=0.389713,mHD=0.184211,lLCS=0.149123,GENDER=female,AGE:0,fitness:907478, last mutation: -1, Identificador de poblacion: 58
individual84 mCAI=0.363086,mHD=0.184211,lLCS=0.175439,GENDER=female,AGE:0,fitness:906300, last mutation: -1, Identificador de poblacion: 89
individual85 mCAI=0.396036,mHD=0.184211,lLCS=0.140351,GENDER=female,AGE:0,fitness:906287, last mutation: -1, Identificador de poblacion: 90
individual86 mCAI=0.388807,mHD=0.184211,lLCS=0.149123,GENDER=female,AGE:0,fitness:903281, last mutation: -1, Identificador de poblacion: 153
individual87 mCAI=0.398072,mHD=0.184211,lLCS=0.131579,GENDER=female,AGE:0,fitness:886713, last mutation: -1, Identificador de poblacion: 158
individual88 mCAI=0.381235,mHD=0.184211,lLCS=0.149123,GENDER=female,AGE:0,fitness:868984, last mutation: -1, Identificador de poblacion: 66
individual89 mCAI=0.370625,mHD=0.184211,lLCS=0.149123,GENDER=female,AGE:0,fitness:823102, last mutation: -1, Identificador de poblacion: 96
individual90 mCAI=0.37017,mHD=0.184211,lLCS=0.149123,GENDER=female,AGE:0,fitness:821192, last mutation: -1, Identificador de poblacion: 151
individual91 mCAI=0.388481,mHD=0.184211,lLCS=0.122807,GENDER=female,AGE:0,fitness:808899, last mutation: -1, Identificador de poblacion: 123
individual92 mCAI=0.353476,mHD=0.184211,lLCS=0.149123,GENDER=female,AGE:0,fitness:754010, last mutation: -1, Identificador de poblacion: 88
individual93 mCAI=0.345101,mHD=0.184211,lLCS=0.149123,GENDER=female,AGE:0,fitness:722405, last mutation: -1, Identificador de poblacion: 24
individual94 mCAI=0.347518,mHD=0.184211,lLCS=0.140351,GENDER=female,AGE:0,fitness:695518, last mutation: -1, Identificador de poblacion: 15
individual95 mCAI=0.35497,mHD=0.184211,lLCS=0.122807,GENDER=female,AGE:0,fitness:658421, last mutation: -1, Identificador de poblacion: 83
individual96 mCAI=0.421091,mHD=0.192982,lLCS=0.22807,GENDER=female,AGE:0,fitness:152588, last mutation: -1, Identificador de poblacion: 134
individual97 mCAI=0.411437,mHD=0.192982,lLCS=0.219298,GENDER=female,AGE:0,fitness:146533, last mutation: -1, Identificador de poblacion: 41
individual98 mCAI=0.4123,mHD=0.192982,lLCS=0.201754,GENDER=female,AGE:0,fitness:139988, last mutation: -1, Identificador de poblacion: 20
individual99 mCAI=0.431959,mHD=0.192982,lLCS=0.175439,GENDER=female,AGE:0,fitness:139539, last mutation: -1, Identificador de poblacion: 167

individual100 mCAI=0.427387,mHD=0.192982,lLCS=0.175439,GENDER=female,AGE:0,fitness:137354, last mutation: -1, Identificador de poblacion: 149
individual101 mCAI=0.42661,mHD=0.192982,lLCS=0.175439,GENDER=female,AGE:0,fitness:136986, last mutation: -1, Identificador de poblacion: 101
individual102 mCAI=0.402394,mHD=0.192982,lLCS=0.201754,GENDER=female,AGE:0,fitness:136454, last mutation: -1, Identificador de poblacion: 63
individual103 mCAI=0.43512,mHD=0.192982,lLCS=0.149123,GENDER=female,AGE:0,fitness:134037, last mutation: -1, Identificador de poblacion: 80
individual104 mCAI=0.386645,mHD=0.192982,lLCS=0.201754,GENDER=female,AGE:0,fitness:131016, last mutation: -1, Identificador de poblacion: 150
individual105 mCAI=0.402071,mHD=0.192982,lLCS=0.184211,GENDER=female,AGE:0,fitness:129256, last mutation: -1, Identificador de poblacion: 25
individual106 mCAI=0.406034,mHD=0.192982,lLCS=0.175439,GENDER=female,AGE:0,fitness:127592, last mutation: -1, Identificador de poblacion: 98
individual107 mCAI=0.418678,mHD=0.192982,lLCS=0.149123,GENDER=female,AGE:0,fitness:124839, last mutation: -1, Identificador de poblacion: 148
individual108 mCAI=0.366522,mHD=0.192982,lLCS=0.201754,GENDER=female,AGE:0,fitness:124380, last mutation: -1, Identificador de poblacion: 30
individual109 mCAI=0.363114,mHD=0.192982,lLCS=0.201754,GENDER=female,AGE:0,fitness:123289, last mutation: -1, Identificador de poblacion: 174
individual110 mCAI=0.414129,mHD=0.192982,lLCS=0.149123,GENDER=female,AGE:0,fitness:122406, last mutation: -1, Identificador de poblacion: 157
individual111 mCAI=0.407555,mHD=0.192982,lLCS=0.157895,GENDER=female,AGE:0,fitness:121989, last mutation: -1, Identificador de poblacion: 71
individual112 mCAI=0.412252,mHD=0.192982,lLCS=0.149123,GENDER=female,AGE:0,fitness:121417, last mutation: -1, Identificador de poblacion: 166
individual113 mCAI=0.390115,mHD=0.192982,lLCS=0.175439,GENDER=female,AGE:0,fitness:120767, last mutation: -1, Identificador de poblacion: 139
individual114 mCAI=0.388041,mHD=0.192982,lLCS=0.175439,GENDER=female,AGE:0,fitness:119905, last mutation: -1, Identificador de poblacion: 13
individual115 mCAI=0.416724,mHD=0.192982,lLCS=0.131579,GENDER=female,AGE:0,fitness:118359, last mutation: -1, Identificador de poblacion: 125
individual116 mCAI=0.383786,mHD=0.192982,lLCS=0.175439,GENDER=female,AGE:0,fitness:118156, last mutation: -1, Identificador de poblacion: 162
individual117 mCAI=0.383514,mHD=0.192982,lLCS=0.175439,GENDER=female,AGE:0,fitness:118045, last mutation: -1, Identificador de poblacion: 147
individual118 mCAI=0.377212,mHD=0.192982,lLCS=0.175439,GENDER=female,AGE:0,fitness:115503, last mutation: -1, Identificador de poblacion: 95
individual119 mCAI=0.391724,mHD=0.192982,lLCS=0.157895,GENDER=female,AGE:0,fitness:114442, last mutation: -1, Identificador de poblacion: 112
individual120 mCAI=0.398298,mHD=0.192982,lLCS=0.149123,GENDER=female,AGE:0,fitness:114305, last mutation: -1, Identificador de poblacion: 84
individual121 mCAI=0.398146,mHD=0.192982,lLCS=0.149123,GENDER=female,AGE:0,fitness:114230, last mutation: -1, Identificador de poblacion: 50
individual122 mCAI=0.397751,mHD=0.192982,lLCS=0.149123,GENDER=female,AGE:0,fitness:114035, last mutation: -1, Identificador de poblacion: 10
individual123 mCAI=0.3908,mHD=0.192982,lLCS=0.157895,GENDER=female,AGE:0,fitness:114015, last mutation: -1, Identificador de poblacion: 56
individual124 mCAI=0.395916,mHD=0.192982,lLCS=0.149123,GENDER=female,AGE:0,fitness:113133, last mutation: -1, Identificador de poblacion: 124
individual125 mCAI=0.402019,mHD=0.192982,lLCS=0.140351,GENDER=female,AGE:0,fitness:113099, last mutation: -1, Identificador de poblacion: 59
individual126 mCAI=0.395766,mHD=0.192982,lLCS=0.149123,GENDER=female,AGE:0,fitness:113059, last mutation: -1, Identificador de poblacion: 31
individual127 mCAI=0.389915,mHD=0.192982,lLCS=0.149123,GENDER=female,AGE:0,fitness:110233, last mutation: -1, Identificador de poblacion: 57
individual128 mCAI=0.363165,mHD=0.192982,lLCS=0.175439,GENDER=female,AGE:0,fitness:110031, last mutation: -1, Identificador de poblacion: 62
individual129 mCAI=0.381417,mHD=0.192982,lLCS=0.157895,GENDER=female,AGE:0,fitness:109780, last mutation: -1, Identificador de poblacion: 192
individual130 mCAI=0.383593,mHD=0.192982,lLCS=0.149123,GENDER=female,AGE:0,fitness:107259, last mutation: -1, Identificador de poblacion: 29
individual131 mCAI=0.381597,mHD=0.192982,lLCS=0.149123,GENDER=female,AGE:0,fitness:106336, last mutation: -1, Identificador de poblacion: 64
individual132 mCAI=0.370492,mHD=0.192982,lLCS=0.157895,GENDER=female,AGE:0,fitness:105045, last mutation: -1, Identificador de poblacion: 39
individual133 mCAI=0.374828,mHD=0.192982,lLCS=0.149123,GENDER=female,AGE:0,fitness:103267, last mutation: -1, Identificador de poblacion: 11
individual134 mCAI=0.369859,mHD=0.192982,lLCS=0.149123,GENDER=female,AGE:0,fitness:101070, last mutation: -1, Identificador de poblacion: 22
individual135 mCAI=0.367325,mHD=0.192982,lLCS=0.149123,GENDER=female,AGE:0,fitness:99967.6, last mutation: -1, Identificador de poblacion: 85
individual136 mCAI=0.365833,mHD=0.192982,lLCS=0.149123,GENDER=female,AGE:0,fitness:99324.1, last mutation: -1, Identificador de poblacion: 68
individual137 mCAI=0.383063,mHD=0.192982,lLCS=0.122807,GENDER=female,AGE:0,fitness:97157, last mutation: -1, Identificador de poblacion: 181
individual138 mCAI=0.381397,mHD=0.192982,lLCS=0.122807,GENDER=female,AGE:0,fitness:96319.6, last mutation: -1, Identificador de poblacion: 52
individual139 mCAI=0.358343,mHD=0.192982,lLCS=0.149123,GENDER=female,AGE:0,fitness:96156.6, last mutation: -1, Identificador de poblacion: 61
individual140 mCAI=0.352248,mHD=0.192982,lLCS=0.149123,GENDER=female,AGE:0,fitness:93653, last mutation: -1, Identificador de poblacion: 107
individual141 mCAI=0.364616,mHD=0.192982,lLCS=0.122807,GENDER=female,AGE:0,fitness:88270.9, last mutation: -1, Identificador de poblacion: 144
individual142 mCAI=0.359173,mHD=0.192982,lLCS=0.122807,GENDER=female,AGE:0,fitness:85807.6, last mutation: -1, Identificador de poblacion: 186
individual143 mCAI=0.418568,mHD=0.201754,lLCS=0.219298,GENDER=female,AGE:0,fitness:17230.8, last mutation: -1, Identificador de poblacion: 178
individual144 mCAI=0.449168,mHD=0.201754,lLCS=0.166667,GENDER=female,AGE:0,fitness:17018.9, last mutation: -1, Identificador de poblacion: 145
individual145 mCAI=0.416728,mHD=0.201754,lLCS=0.201754,GENDER=female,AGE:0,fitness:16568.6, last mutation: -1, Identificador de poblacion: 198
individual146 mCAI=0.4446,mHD=0.201754,lLCS=0.149123,GENDER=female,AGE:0,fitness:16428.9, last mutation: -1, Identificador de poblacion: 34
individual147 mCAI=0.406983,mHD=0.201754,lLCS=0.201754,GENDER=female,AGE:0,fitness:16233.1, last mutation: -1, Identificador de poblacion: 114
individual148 mCAI=0.426485,mHD=0.201754,lLCS=0.175439,GENDER=female,AGE:0,fitness:16138, last mutation: -1, Identificador de poblacion: 42
individual149 mCAI=0.401575,mHD=0.201754,lLCS=0.201754,GENDER=female,AGE:0,fitness:16050, last mutation: -1, Identificador de poblacion: 170
individual150 mCAI=0.396259,mHD=0.201754,lLCS=0.201754,GENDER=female,AGE:0,fitness:15871.7, last mutation: -1, Identificador de poblacion: 160
individual151 mCAI=0.430086,mHD=0.201754,lLCS=0.157895,GENDER=female,AGE:0,fitness:15825.2, last mutation: -1, Identificador de poblacion: 155
individual152 mCAI=0.428707,mHD=0.201754,lLCS=0.149123,GENDER=female,AGE:0,fitness:15533.8, last mutation: -1, Identificador de poblacion: 97
individual153 mCAI=0.382961,mHD=0.201754,lLCS=0.201754,GENDER=female,AGE:0,fitness:15433.8, last mutation: -1, Identificador de poblacion: 75
individual154 mCAI=0.410253,mHD=0.201754,lLCS=0.175439,GENDER=female,AGE:0,fitness:15418.3, last mutation: -1, Identificador de poblacion: 35
individual155 mCAI=0.420584,mHD=0.201754,lLCS=0.157895,GENDER=female,AGE:0,fitness:15339.4, last mutation: -1, Identificador de poblacion: 135
individual156 mCAI=0.411881,mHD=0.201754,lLCS=0.166667,GENDER=female,AGE:0,fitness:15194, last mutation: -1, Identificador de poblacion: 152
individual157 mCAI=0.404191,mHD=0.201754,lLCS=0.175439,GENDER=female,AGE:0,fitness:15157, last mutation: -1, Identificador de poblacion: 189
individual158 mCAI=0.370842,mHD=0.201754,lLCS=0.201754,GENDER=female,AGE:0,fitness:15044.4, last mutation: -1, Identificador de poblacion: 104
individual159 mCAI=0.419161,mHD=0.201754,lLCS=0.149123,GENDER=female,AGE:0,fitness:15018.6, last mutation: -1, Identificador de poblacion: 156
individual160 mCAI=0.391284,mHD=0.201754,lLCS=0.184211,GENDER=female,AGE:0,fitness:14967.2, last mutation: -1, Identificador de poblacion: 81
individual161 mCAI=0.413043,mHD=0.201754,lLCS=0.149123,GENDER=female,AGE:0,fitness:14696.5, last mutation: -1, Identificador de poblacion: 154
individual162 mCAI=0.354217,mHD=0.201754,lLCS=0.201754,GENDER=female,AGE:0,fitness:14525.4, last mutation: -1, Identificador de poblacion: 36
individual163 mCAI=0.409409,mHD=0.201754,lLCS=0.149123,GENDER=female,AGE:0,fitness:14508.2, last mutation: -1, Identificador de poblacion: 172
individual164 mCAI=0.388689,mHD=0.201754,lLCS=0.175439,GENDER=female,AGE:0,fitness:14508, last mutation: -1, Identificador de poblacion: 115
individual165 mCAI=0.404611,mHD=0.201754,lLCS=0.149123,GENDER=female,AGE:0,fitness:14262.9, last mutation: -1, Identificador de poblacion: 171
individual166 mCAI=0.371814,mHD=0.201754,lLCS=0.184211,GENDER=female,AGE:0,fitness:14233.5, last mutation: -1, Identificador de poblacion: 128
individual167 mCAI=0.401584,mHD=0.201754,lLCS=0.149123,GENDER=female,AGE:0,fitness:14110.9, last mutation: -1, Identificador de poblacion: 103
individual168 mCAI=0.401459,mHD=0.201754,lLCS=0.149123,GENDER=female,AGE:0,fitness:14104.6, last mutation: -1, Identificador de poblacion: 143
individual169 mCAI=0.374468,mHD=0.201754,lLCS=0.175439,GENDER=female,AGE:0,fitness:13936.4, last mutation: -1, Identificador de poblacion: 175
individual170 mCAI=0.369626,mHD=0.201754,lLCS=0.175439,GENDER=female,AGE:0,fitness:13746.8, last mutation: -1, Identificador de poblacion: 49
individual171 mCAI=0.404306,mHD=0.201754,lLCS=0.131579,GENDER=female,AGE:0,fitness:13661.4, last mutation: -1, Identificador de poblacion: 132
individual172 mCAI=0.391185,mHD=0.201754,lLCS=0.149123,GENDER=female,AGE:0,fitness:13597.7, last mutation: -1, Identificador de poblacion: 126
individual173 mCAI=0.390088,mHD=0.201754,lLCS=0.149123,GENDER=female,AGE:0,fitness:13544.4, last mutation: -1, Identificador de poblacion: 176
individual174 mCAI=0.395696,mHD=0.201754,lLCS=0.140351,GENDER=female,AGE:0,fitness:13502.6, last mutation: -1, Identificador de poblacion: 82
individual175 mCAI=0.380476,mHD=0.201754,lLCS=0.149123,GENDER=female,AGE:0,fitness:13089.3, last mutation: -1, Identificador de poblacion: 191
individual176 mCAI=0.398525,mHD=0.201754,lLCS=0.122807,GENDER=female,AGE:0,fitness:13052.5, last mutation: -1, Identificador de poblacion: 133
individual177 mCAI=0.379101,mHD=0.201754,lLCS=0.149123,GENDER=female,AGE:0,fitness:13025.2, last mutation: -1, Identificador de poblacion: 44
individual178 mCAI=0.377475,mHD=0.201754,lLCS=0.149123,GENDER=female,AGE:0,fitness:12949.7, last mutation: -1, Identificador de poblacion: 117
individual179 mCAI=0.377183,mHD=0.201754,lLCS=0.149123,GENDER=female,AGE:0,fitness:12936, last mutation: -1, Identificador de poblacion: 48
individual180 mCAI=0.377008,mHD=0.201754,lLCS=0.149123,GENDER=female,AGE:0,fitness:12928, last mutation: -1, Identificador de poblacion: 184
individual181 mCAI=0.344302,mHD=0.201754,lLCS=0.175439,GENDER=female,AGE:0,fitness:12795.3, last mutation: -1, Identificador de poblacion: 12
